0,source,sink,in_out_degree_a
1,4066935,2828522,0.9930069860628882
2,20388,3492899,0.0063547446615992076
3,20388,4488954,0.0063547446615992076
4,20388,3242265,0.0063547446615992076
5,20388,4766028,0.0063547446615992076
6,20388,2326484,0.0063547446615992076
7,20388,2302885,0.0063547446615992076
8,20388,1473459,0.0063547446615992076
9,20388,225508,0.0063547446615992076
10,20388,1425537,0.0063547446615992076
11,20388,3944848,0.0063547446615992076
12,20388,4750464,0.0063547446615992076
13,20388,3341653,0.0063547446615992076
14,20388,4070850,0.0063547446615992076
15,20388,2431464,0.0063547446615992076
16,20388,2695003,0.0063547446615992076
17,20388,2465215,0.0063547446615992076
18,20388,4853794,0.0063547446615992076
19,20388,2733370,0.0063547446615992076
20,20388,4807564,0.0063547446615992076
21,20388,4360867,0.0063547446615992076
22,20388,4449564,0.0063547446615992076
23,20388,4565286,0.0063547446615992076
24,20388,423727,0.0063547446615992076
25,20388,958787,0.0063547446615992076
26,20388,2794784,0.0063547446615992076
27,20388,4271851,0.0063547446615992076
28,20388,3781148,0.0063547446615992076
29,20388,395178,0.0063547446615992076
30,20388,4697814,0.0063547446615992076
31,20388,3857206,0.0063547446615992076
32,20388,3463919,0.0063547446615992076
33,20388,1798709,0.0063547446615992076
34,20388,1924325,0.0063547446615992076
35,20388,4507890,0.0063547446615992076
36,20388,2695521,0.0063547446615992076
37,20388,2356860,0.0063547446615992076
38,20388,3073163,0.0063547446615992076
39,20388,679735,0.0063547446615992076
40,20388,1711438,0.0063547446615992076
41,20388,506738,0.0063547446615992076
42,20388,2503234,0.0063547446615992076
43,20388,347688,0.0063547446615992076
44,20388,2357977,0.0063547446615992076
45,20388,1360074,0.0063547446615992076
46,20388,3128695,0.0063547446615992076
47,20388,3851031,0.0063547446615992076
48,20388,1711976,0.0063547446615992076
49,20388,23956,0.0063547446615992076
50,20388,3389578,0.0063547446615992076
51,20388,1088742,0.0063547446615992076
52,20388,4115374,0.0063547446615992076
53,20388,3382171,0.0063547446615992076
54,20388,1166943,0.0063547446615992076
55,20388,2943688,0.0063547446615992076
56,20388,3273076,0.0063547446615992076
57,20388,676659,0.0063547446615992076
58,20388,4356881,0.0063547446615992076
59,20388,2954010,0.0063547446615992076
60,20388,2538254,0.0063547446615992076
61,20388,3359696,0.0063547446615992076
62,20388,3289082,0.0063547446615992076
63,20388,3179756,0.0063547446615992076
64,20388,3956990,0.0063547446615992076
65,20388,1955532,0.0063547446615992076
66,20388,4051252,0.0063547446615992076
67,20388,3908740,0.0063547446615992076
68,20388,2707984,0.0063547446615992076
69,20388,1491328,0.0063547446615992076
70,20388,323352,0.0063547446615992076
71,20388,884738,0.0063547446615992076
72,20388,1101880,0.0063547446615992076
73,20388,1306131,0.0063547446615992076
